iter	Logloss
0	0.67999581
1	0.6672071657
2	0.6548085598
3	0.6430984029
4	0.6317187652
5	0.6208140378
6	0.6103244687
7	0.5999877157
8	0.5902147051
9	0.5806118267
10	0.57157106
11	0.5629216906
12	0.5544486265
13	0.546319787
14	0.538574502
15	0.5311122141
16	0.5238030529
17	0.5167701333
18	0.5101108678
19	0.5036240639
20	0.4974168018
21	0.4914043258
22	0.4855853549
23	0.480023834
24	0.4745986674
25	0.4694551002
26	0.4645096971
27	0.4597432782
28	0.4551177173
29	0.4506281612
30	0.4463450001
31	0.4422107726
32	0.4381724045
33	0.4343087501
34	0.4306057156
35	0.42686339
36	0.4234064299
37	0.4200773989
38	0.4168365012
39	0.4137134381
40	0.4107753384
41	0.4078462462
42	0.4051221512
43	0.4024436758
44	0.3999347891
45	0.3974731139
46	0.3950901374
47	0.3927316985
48	0.3904733122
49	0.3882617492
50	0.3861924806
51	0.3841441388
52	0.3820959912
53	0.3801283283
54	0.3782527588
55	0.3764592659
56	0.3746101752
57	0.37284386
58	0.371185013
59	0.3696358472
60	0.3681814539
61	0.3667218969
62	0.3653301675
63	0.3639285377
64	0.3626137211
65	0.3613807869
66	0.3601877651
67	0.3588791605
68	0.3578140678
69	0.356709024
70	0.3556455231
71	0.3545391592
72	0.3535746627
73	0.3526055072
74	0.3516015254
75	0.3506716999
76	0.3498335795
77	0.3489762795
78	0.3480405137
79	0.3472588064
80	0.34644534
81	0.3456675153
82	0.3449757661
83	0.3442033768
84	0.343477772
85	0.3427907595
86	0.3421490172
87	0.341347276
88	0.340655721
89	0.339990567
90	0.339242793
91	0.3387052964
92	0.3381019911
93	0.3374217341
94	0.3369400295
95	0.336406066
96	0.3358974166
97	0.3353794491
98	0.3348504165
99	0.3344523801
100	0.3339789064
101	0.3335807536
102	0.3331774759
103	0.3326819882
104	0.3322503681
105	0.3318903029
106	0.331585913
107	0.3312081435
108	0.3308684615
109	0.3304558657
110	0.3300868707
111	0.3297479264
112	0.3294433424
113	0.3290519452
114	0.3286138024
115	0.3283121692
116	0.3280114677
117	0.3277232292
118	0.3274006303
119	0.3271319209
120	0.3268240367
121	0.3265544343
122	0.3263086317
123	0.326029983
124	0.3257553721
125	0.3254350639
126	0.3251903291
127	0.3248864051
128	0.324621947
129	0.3243024153
130	0.3240103525
131	0.3237410219
132	0.3234261492
133	0.3231942655
134	0.3229556456
135	0.3227346718
136	0.3224712619
137	0.3222541901
138	0.3220207533
139	0.321822337
140	0.3216279002
141	0.3213687806
142	0.3210904813
143	0.320875506
144	0.3206782738
145	0.3205278648
146	0.3202966411
147	0.3200838594
148	0.3198794834
149	0.3197175239
150	0.3195069941
151	0.3193430351
152	0.3191736988
153	0.3189485901
154	0.3188090716
155	0.3186402983
156	0.3184590621
157	0.3183038388
158	0.3182503377
159	0.318083428
160	0.3179530917
161	0.3177820665
162	0.3175889498
163	0.3174261362
164	0.3172392703
165	0.3171221928
166	0.3170086678
167	0.3168732648
168	0.316678828
169	0.3165054151
170	0.3164124481
171	0.3162498286
172	0.316099109
173	0.3159579793
174	0.3157973399
175	0.3156623834
176	0.3155407439
177	0.3153701264
178	0.3152089434
179	0.3150974956
180	0.3149847083
181	0.314879686
182	0.3147676558
183	0.3146457058
184	0.3145243963
185	0.3144089689
186	0.3143150895
187	0.3142139109
188	0.3141076462
189	0.3139998285
190	0.3138861871
191	0.3137740986
192	0.3136577588
193	0.3135502323
194	0.3134235456
195	0.3133442644
196	0.3132627315
197	0.3131521572
198	0.3130732643
199	0.31294782
200	0.3128292865
201	0.3127549556
202	0.3126699478
203	0.3125981211
204	0.3125027857
205	0.3124512452
206	0.3123663344
207	0.3122328144
208	0.3121326647
209	0.3120434638
210	0.311975869
211	0.3118978691
212	0.3117852954
213	0.3117232332
214	0.3116263254
215	0.3115423853
216	0.3114085159
217	0.3113329231
218	0.3112302498
219	0.311150328
220	0.3110463152
221	0.3109716931
222	0.3109200556
223	0.3108486754
224	0.3107699184
225	0.3107020519
226	0.3106135303
227	0.3104927062
228	0.3104047865
229	0.3103506447
230	0.3103021908
231	0.3102095926
232	0.3101476858
233	0.3100996589
234	0.3099885799
235	0.3099085805
236	0.309858826
237	0.3097838739
238	0.3097044763
239	0.309632999
240	0.3095500101
241	0.3094743591
242	0.3094130929
243	0.309312322
244	0.3091961375
245	0.3091418986
246	0.3090787688
247	0.3090409918
248	0.3089934115
249	0.3089171782
250	0.3088663948
251	0.3088442255
252	0.3087450659
253	0.3086765005
254	0.3086166708
255	0.3085603354
256	0.3084982539
257	0.3084555461
258	0.3083991719
259	0.3082901118
260	0.3082548196
261	0.3082042498
262	0.3081090115
263	0.3079862267
264	0.3079444313
265	0.3078947156
266	0.3078534638
267	0.3078115519
268	0.3077615839
269	0.3076789443
270	0.3075523158
271	0.3075178002
272	0.3074193782
273	0.307369119
274	0.3073272071
275	0.3072727547
276	0.3071219963
277	0.3070277093
278	0.3069311897
279	0.3068682928
280	0.3068245368
281	0.3067556608
282	0.3067167774
283	0.3066707112
284	0.3066329149
285	0.3065835097
286	0.3065141096
287	0.306470606
288	0.3064120187
289	0.3063588281
290	0.3062237551
291	0.3061626442
292	0.3061200917
293	0.3060752874
294	0.3060328708
295	0.3059838152
296	0.305931867
297	0.3058817048
298	0.3058599238
299	0.3058314649
300	0.305791805
301	0.305751252
302	0.3057040405
303	0.3056669236
304	0.3055746942
305	0.3055268227
306	0.3054654983
307	0.305405358
308	0.3053710753
309	0.3053079066
310	0.3052975209
311	0.3052492029
312	0.3051137805
313	0.3050655595
314	0.3050241718
315	0.304989695
316	0.3049412023
317	0.304902843
318	0.3048673955
319	0.3048212711
320	0.3047926569
321	0.3047719825
322	0.3047284788
323	0.3046971857
324	0.3046210106
325	0.3045929788
326	0.3045220839
327	0.3044882865
328	0.3044518878
329	0.3044094907
330	0.3043642399
331	0.304317669
332	0.3042885307
333	0.3042540927
334	0.3042173252
335	0.3041639599
336	0.3041273477
337	0.3040895902
338	0.3040082707
339	0.3039575261
340	0.3039154396
341	0.3038611037
342	0.3038256756
343	0.3037885393
344	0.3037353681
345	0.3037010466
346	0.3035933066
347	0.303418166
348	0.3033866399
349	0.3033537161
350	0.3033162497
351	0.3032544982
352	0.3032218267
353	0.3031227253
354	0.3030767951
355	0.3030424736
356	0.3030047548
357	0.302956301
358	0.3029143697
359	0.3028780099
360	0.3028295171
361	0.3027789085
362	0.3027390349
363	0.302647155
364	0.3026118823
365	0.3025783373
366	0.3025565563
367	0.3025176534
368	0.3024910582
369	0.3024540771
370	0.3024169408
371	0.3023865018
372	0.3023575576
373	0.3022946801
374	0.3022588444
375	0.3022203686
376	0.3021251497
377	0.3020290184
378	0.3020022484
379	0.3019608607
380	0.3019195313
381	0.3018900047
382	0.3018547902
383	0.3018056375
384	0.3017771203
385	0.3017161647
386	0.3016725057
387	0.3016435809
388	0.301608347
389	0.3015879638
390	0.3015550982
391	0.3015266587
392	0.3014676444
393	0.3014325269
394	0.301404631
395	0.301370523
396	0.3013437919
397	0.3013208462
398	0.301255445
399	0.3011980808
400	0.3011758921
401	0.3011091127
402	0.3010850217
403	0.301063299
404	0.3009511717
405	0.3009183644
406	0.3008832275
407	0.3008193018
408	0.3007913864
409	0.3007204721
410	0.3006486066
411	0.300624535
412	0.3005939407
413	0.3005586874
414	0.3005301896
415	0.3004593724
416	0.3003109435
417	0.3002690511
418	0.300233526
419	0.3002092991
420	0.3001684938
421	0.3001479358
422	0.3001083146
423	0.300031693
424	0.3000059713
425	0.2999769495
426	0.2999503736
427	0.2999259719
428	0.2998984642
429	0.2998523205
430	0.2997752524
431	0.2997365436
432	0.299685139
433	0.2996364716
434	0.2995580834
435	0.2995159969
436	0.2994755215
437	0.2994110522
438	0.2993734306
439	0.2993439622
440	0.2992439484
441	0.2992079186
442	0.2991799062
443	0.2991466718
444	0.2991205618
445	0.2990843961
446	0.2990538601
447	0.2990278083
448	0.2989736277
449	0.298949362
450	0.2989213884
451	0.2988900564
452	0.2987593318
453	0.2986471269
454	0.29849037
455	0.2984608046
456	0.2983915986
457	0.2983593154
458	0.2983326231
459	0.2982960303
460	0.2981712848
461	0.2981493486
462	0.2980703392
463	0.2979035848
464	0.2978399891
465	0.2977845078
466	0.2977526905
467	0.2977196891
468	0.2976768066
469	0.2976512402
470	0.2975975449
471	0.2975734927
472	0.2975470527
473	0.2974942892
474	0.2974651703
475	0.2974043311
476	0.2973791724
477	0.2973571196
478	0.2973362705
479	0.297307171
480	0.2972370332
481	0.297119781
482	0.2970977671
483	0.2970762967
484	0.2969481346
485	0.2969178898
486	0.29689607
487	0.29686897
488	0.2968229621
489	0.2967928919
490	0.2967663743
491	0.2966320584
492	0.2966028618
493	0.2965524666
494	0.2965216394
495	0.2964931417
496	0.2964656922
497	0.296420752
498	0.2963297263
499	0.2961432098
500	0.2961162651
501	0.2960860591
502	0.2960560278
503	0.2960356833
504	0.2960160572
505	0.2959404256
506	0.2957872212
507	0.2957543945
508	0.2957233731
509	0.2956545554
510	0.2955742842
511	0.2955499796
512	0.29553047
513	0.2955035447
514	0.2954733386
515	0.2954453845
516	0.2954151202
517	0.2953895926
518	0.2953653657
519	0.2953359361
520	0.2952847256
521	0.2952621488
522	0.2951966894
523	0.2951718801
524	0.2951013541
525	0.2950734969
526	0.2949988554
527	0.2949268152
528	0.2948976769
529	0.2948718387
530	0.2948522708
531	0.2948268791
532	0.2947985755
533	0.2947281853
534	0.2947035701
535	0.294682158
536	0.2946146797
537	0.2945865508
538	0.2943976273
539	0.2942676986
540	0.2942506931
541	0.2942245832
542	0.2942077136
543	0.2941758575
544	0.294150194
545	0.2940900926
546	0.2940681175
547	0.2939781206
548	0.2938834647
549	0.2937955255
550	0.2937696873
551	0.2937387048
552	0.2936526486
553	0.2935266607
554	0.2935003761
555	0.2934764209
556	0.2934530093
557	0.2934263169
558	0.2933959362
559	0.2933727575
560	0.2932955341
561	0.2932672693
562	0.2932428677
563	0.2931415144
564	0.2930495957
565	0.2930206903
566	0.2930007729
567	0.2928802594
568	0.2928555666
569	0.2928332032
570	0.2928075009
571	0.29269252
572	0.2926379317
573	0.2925650373
574	0.2925340742
575	0.2924348175
576	0.2923177594
577	0.2922637923
578	0.2922168526
579	0.292149122
580	0.2920617458
581	0.2920288802
582	0.2920108071
583	0.2919860948
584	0.2919569759
585	0.2918619511
586	0.2918285032
587	0.291805441
588	0.2917796416
589	0.2917457084
590	0.2916020162
591	0.2915801576
592	0.2915130676
593	0.2914898501
594	0.2914658561
595	0.2914071523
596	0.2913849831
597	0.2913363157
598	0.2913106522
599	0.2911575255
600	0.2911274553
601	0.2910625784
602	0.2910422339
603	0.2908996871
604	0.2908709758
605	0.2907597027
606	0.2906969029
607	0.290616127
608	0.2905486875
609	0.2905220923
610	0.2904061601
611	0.2902571877
612	0.290225021
613	0.2901208723
614	0.2900988972
615	0.2899586604
616	0.2899372483
617	0.2898163465
618	0.2897921196
619	0.2897526537
620	0.2896681118
621	0.2895240702
622	0.289355821
623	0.2893352825
624	0.2892882845
625	0.2891766231
626	0.2891530756
627	0.2891280334
628	0.2890558961
629	0.2888847544
630	0.2888670307
631	0.2888553637
632	0.2888408625
633	0.2887095167
634	0.2886618588
635	0.288620704
636	0.2885957976
637	0.2885764821
638	0.2885516339
639	0.2885309012
640	0.2885117022
641	0.288370553
642	0.2883293594
643	0.2882953485
644	0.2881622945
645	0.2880910696
646	0.2879715072
647	0.2878857035
648	0.2878295816
649	0.2878110037
650	0.2876670786
651	0.2876451811
652	0.2876204106
653	0.2874821152
654	0.2873226793
655	0.2872285087
656	0.2871866745
657	0.2870699853
658	0.2870244821
659	0.2869756788
660	0.286877878
661	0.2868541946
662	0.2867933749
663	0.286604063
664	0.2865489894
665	0.2864654375
666	0.2863656567
667	0.2863327329
668	0.2861570099
669	0.2860304008
670	0.2859616025
671	0.2859419569
672	0.2859194965
673	0.2858568326
674	0.2858204533
675	0.2858089611
676	0.2857953916
677	0.2857818804
678	0.2857120339
679	0.2856620852
680	0.2856418767
681	0.2856285014
682	0.2855644203
683	0.2854966314
684	0.2854745981
685	0.2854073334
686	0.2852956526
687	0.2852531196
688	0.2852398608
689	0.2852277667
690	0.2851935228
691	0.2850458316
692	0.2849865843
693	0.2849380722
694	0.2848459399
695	0.2848243337
696	0.2848038339
697	0.2847352298
698	0.2847216021
699	0.2846676544
700	0.2846163081
701	0.2844336353
702	0.2843948489
703	0.2843464338
704	0.2843329421
705	0.2842863324
706	0.2841676825
707	0.2841054262
708	0.2840935651
709	0.2840815875
710	0.2840364143
711	0.2840188653
712	0.2839970067
713	0.2839778271
714	0.2838977694
715	0.283842987
716	0.283808782
717	0.2837548537
718	0.2836473272
719	0.2835700068
720	0.2834617426
721	0.2833464511
722	0.2833285915
