iter	Logloss
0	0.6574436401
1	0.6270480985
2	0.6022596851
3	0.5819046024
4	0.5646456366
5	0.5495297145
6	0.5365307486
7	0.5260553455
8	0.5169206367
9	0.5089918954
10	0.5025857228
11	0.4970637833
12	0.4923587488
13	0.4882462735
14	0.4845339708
15	0.4813185263
16	0.4787833261
17	0.4767482186
18	0.4743126221
19	0.4721740435
20	0.4700583179
21	0.4684192344
22	0.4670190872
23	0.4656865496
24	0.4643735248
25	0.4633026007
26	0.4623500196
27	0.4614374137
28	0.4606411467
29	0.4600300942
30	0.459423788
31	0.4587641817
32	0.4580563029
33	0.457423874
34	0.4568387332
35	0.4562024369
36	0.4555639608
37	0.4549916527
38	0.454419415
39	0.4540115778
40	0.4533636089
41	0.4526234196
42	0.4521320813
43	0.4516465793
44	0.4511060544
45	0.4503457193
46	0.4498542404
47	0.449531592
48	0.4492846044
49	0.4489537289
50	0.448611884
51	0.4481650562
52	0.4479007004
53	0.4475015825
54	0.4469518813
55	0.4466147476
56	0.4463038069
57	0.445913127
58	0.4454915781
59	0.4450891553
60	0.4446814588
61	0.4440225908
62	0.4435918304
63	0.4431714065
64	0.4427213441
65	0.442390539
66	0.4420374785
67	0.4417540317
68	0.4415167127
69	0.4411394633
70	0.440719391
71	0.4405145232
72	0.4402015081
73	0.4399610248
74	0.439457592
75	0.4392821869
76	0.4390713421
77	0.4388737169
78	0.4385870003
79	0.4384132476
80	0.4381944219
81	0.4379896947
82	0.4375230024
83	0.4373511482
84	0.4370832414
85	0.4364560863
86	0.4361188471
87	0.4354830079
88	0.4352432629
89	0.4350313985
90	0.4346696188
91	0.4343474626
92	0.4341750108
93	0.4336621204
94	0.4335023959
95	0.4330342621
96	0.4328675059
97	0.4325843052
98	0.4323941336
99	0.4320963421
100	0.4317909213
101	0.4313224008
102	0.4308697015
103	0.4306136782
104	0.4302522149
105	0.4300133489
106	0.4294679019
107	0.4293149981
108	0.4290144643
109	0.4287119968
110	0.4281395129
111	0.4278402097
112	0.4276076019
113	0.4271584536
114	0.4268001194
115	0.4266095962
116	0.4264231865
117	0.4261093628
118	0.425827252
119	0.4253796155
120	0.4249260373
121	0.4247755595
122	0.4245935797
123	0.4244362811
124	0.4242486409
125	0.4240004579
126	0.423755404
127	0.423433072
128	0.4231676263
129	0.4228981022
130	0.4224770454
131	0.4221548541
132	0.4218842401
133	0.4217180816
134	0.4215859212
135	0.4212233329
136	0.4209919908
137	0.4206351684
138	0.4203727463
139	0.4200506604
140	0.4196766808
141	0.4192753127
142	0.4191680094
143	0.4188638894
144	0.4186970981
145	0.418640704
146	0.4184393169
147	0.4181914503
148	0.4179810626
149	0.4179290282
150	0.4175905936
151	0.4172786334
152	0.417011043
153	0.4167965769
154	0.4167489021
155	0.416626551
156	0.4164028031
157	0.4163031994
158	0.4162588647
159	0.4161373925
160	0.4157773355
161	0.4157356025
162	0.4155139641
163	0.415342567
164	0.415289935
165	0.4150105665
166	0.4146254416
167	0.4144163196
168	0.4141141334
169	0.4138730875
170	0.4137020772
171	0.4134897206
172	0.4133206088
173	0.4131323005
174	0.4129659311
175	0.4128497327
176	0.4125962408
177	0.4122875854
178	0.4120578606
179	0.4118770059
180	0.4115764018
181	0.4114517653
182	0.4112963301
183	0.4111133659
184	0.4110031796
185	0.4108212701
186	0.4106672765
187	0.4103331312
188	0.4100594584
189	0.4098991362
190	0.4098639779
191	0.4096926159
192	0.4095301842
193	0.4093617756
194	0.4092806301
195	0.4091887964
196	0.4091562046
197	0.4089871631
198	0.4087771621
199	0.4085261313
200	0.408427055
201	0.4082907108
202	0.4081022971
203	0.4078145961
204	0.4077536315
205	0.4075758004
206	0.407448949
207	0.407286447
208	0.4072568436
209	0.4070893491
210	0.4070617146
211	0.4070038791
212	0.4068661637
213	0.406652893
214	0.4063914202
215	0.4063178689
216	0.40620712
217	0.4060649746
218	0.4057933059
219	0.4057064295
220	0.4055227622
221	0.4053137105
222	0.4051618263
223	0.4049846281
224	0.4048001521
225	0.4046244656
226	0.4044976494
227	0.4042744288
228	0.4041003597
229	0.4039188019
230	0.4037940248
231	0.4036449884
232	0.4036196041
233	0.4035888053
234	0.4034163535
235	0.4032658757
236	0.4030902596
237	0.402939184
238	0.4028156726
239	0.4026127385
240	0.4023445856
241	0.4022063077
242	0.402086945
243	0.4019153369
244	0.4018954021
245	0.4017961149
246	0.4016774905
247	0.4016100568
248	0.4014122206
249	0.4013841993
250	0.401250703
251	0.40111573
252	0.401002731
253	0.4007701935
254	0.4006321265
255	0.4004955714
256	0.4003416128
257	0.4002585688
258	0.4000786282
259	0.3999106415
260	0.3997232122
261	0.3995705897
262	0.3993821056
263	0.3992589458
264	0.3991769565
265	0.3991278754
266	0.3989797883
267	0.3988641172
268	0.398695568
269	0.3986483151
270	0.3985308861
271	0.3984592334
272	0.3982619246
273	0.3981423861
274	0.3979940529
275	0.3979152278
276	0.3977461512
277	0.3975937045
278	0.3974176665
279	0.397351639
280	0.3972218695
281	0.3969969965
282	0.3968730281
283	0.3967552475
284	0.3966992402
285	0.3966561712
286	0.3965161705
287	0.3964270089
288	0.3963903035
289	0.3962763201
290	0.3961801268
291	0.3960580569
292	0.395726865
293	0.3956817216
294	0.3955818718
295	0.3955572258
296	0.3954112834
297	0.3952931864
298	0.3951695344
299	0.3950171228
300	0.3949984537
301	0.3948918184
302	0.3948313108
303	0.3947073072
304	0.3945488484
305	0.3943694352
306	0.3943523834
307	0.3942530258
308	0.3941289168
309	0.3939819548
310	0.393915189
311	0.3938422002
312	0.3936834953
313	0.3935204659
314	0.3934208974
315	0.3932686968
316	0.3931392085
317	0.3930452653
318	0.392910222
319	0.3928078759
320	0.3927300001
321	0.3925722445
322	0.3925350118
323	0.3923671305
324	0.3922746991
325	0.3922313137
326	0.3921156075
327	0.3920067572
328	0.3918625727
329	0.3917671177
330	0.3916446962
331	0.391614249
332	0.3915661172
333	0.3913958804
334	0.3912760606
335	0.3911192894
336	0.3910217601
337	0.390911187
338	0.390894768
339	0.390809966
340	0.3907947776
341	0.3907812768
342	0.3907347974
343	0.3906399401
344	0.3905773582
345	0.3904647459
346	0.3904088089
347	0.3903960816
348	0.3903266438
349	0.3902586827
350	0.390152645
351	0.3900321924
352	0.3900024836
353	0.3898877618
354	0.389787244
355	0.3896985746
356	0.3895643047
357	0.3894964491
358	0.3894676895
359	0.3893886183
360	0.3892528718
361	0.3891911689
362	0.3891038003
363	0.3890710679
364	0.3889442516
365	0.388815572
366	0.3886694889
367	0.3886118292
368	0.3885527279
369	0.3884642695
370	0.3883379103
371	0.3882707929
372	0.3881200689
373	0.3881072361
374	0.3879384408
375	0.387868792
376	0.3877223926
377	0.3876637484
378	0.38759417
379	0.3874613768
380	0.387352421
381	0.3872206122
382	0.3871341929
383	0.3871132034
384	0.3870524848
385	0.3869582252
386	0.3869087926
387	0.3867990281
388	0.3866870487
389	0.3865893084
390	0.3865204331
391	0.3864588357
392	0.3863286442
393	0.3862219737
394	0.3861996481
395	0.3861224403
396	0.3860097929
397	0.3859986125
398	0.3859090641
399	0.3858158593
400	0.3856558183
401	0.3856407706
402	0.3855246776
403	0.3854272889
404	0.3853474794
405	0.3852898196
406	0.3851923606
407	0.3851756955
