coef,vars,coef_abs
-1.7101970570531915,Brand_Knorr,1.7101970570531915
-1.557720174939689,Country_Canada,1.557720174939689
-1.4881396516724283,Brand_Ripe'n'Dry,1.4881396516724283
-1.4518966069002064,Brand_Koyo,1.4518966069002064
-1.3599740738304975,Country_Netherlands,1.3599740738304975
-1.3428959665544504,Brand_Doll,1.3428959665544504
-1.2423774042005544,Brand_Shirakiku,1.2423774042005544
-1.1853057508638403,Brand_Four Seas,1.1853057508638403
-1.1517299302131097,Brand_Chewy,1.1517299302131097
-1.1451004700495997,Brand_Baijia,1.1451004700495997
-1.1422728313395225,Brand_Koka,1.1422728313395225
-1.1369485377647996,Brand_IbuRamen,1.1369485377647996
-1.1020662799605327,Brand_United,1.1020662799605327
-1.1020662799605327,Brand_GreeNoodle,1.1020662799605327
-1.0959183362959901,Brand_Mr. Noodles,1.0959183362959901
-1.0047899907050315,Brand_Paldo Vina,1.0047899907050315
-1.0027359208453168,Country_UK,1.0027359208453168
-0.9804592365056389,Brand_Shan,0.9804592365056389
-0.9804592365056389,Brand_Long Kow,0.9804592365056389
-0.979903141060489,Country_Australia,0.979903141060489
